date,close
02-01-15,46.76
05-01-15,46.325
06-01-15,45.65
07-01-15,46.23
08-01-15,47.59
09-01-15,47.19
12-01-15,46.6
13-01-15,46.355
14-01-15,45.955
15-01-15,45.48
16-01-15,46.24
20-01-15,46.39
21-01-15,45.92
22-01-15,47.13
23-01-15,47.18
26-01-15,47.01
27-01-15,42.66
28-01-15,41.19
29-01-15,42.01
30-01-15,40.4
02-02-15,41.28
03-02-15,41.6
04-02-15,41.84
05-02-15,42.45
06-02-15,42.41
09-02-15,42.36
10-02-15,42.6
11-02-15,42.38
12-02-15,43.09
13-02-15,43.87
17-02-15,43.58
18-02-15,43.53
19-02-15,43.5
20-02-15,43.855
23-02-15,44.15
24-02-15,44.09
25-02-15,43.99
26-02-15,44.055
27-02-15,43.85
02-03-15,43.88
03-03-15,43.28
04-03-15,43.055
05-03-15,43.11
06-03-15,42.36
09-03-15,42.85
10-03-15,42.03
11-03-15,41.98
12-03-15,41.02
13-03-15,41.38
16-03-15,41.56
17-03-15,41.695
18-03-15,42.5
19-03-15,42.285
20-03-15,42.88
23-03-15,42.855
24-03-15,42.9
25-03-15,41.46
26-03-15,41.21
27-03-15,40.97
30-03-15,40.96
31-03-15,40.655
01-04-15,40.72
02-04-15,40.29
06-04-15,41.545
07-04-15,41.53
08-04-15,41.42
09-04-15,41.48
10-04-15,41.72
13-04-15,41.76
14-04-15,41.65
15-04-15,42.255
16-04-15,42.16
17-04-15,41.615
20-04-15,42.905
21-04-15,42.635
22-04-15,42.985
23-04-15,43.34
24-04-15,47.87
27-04-15,48.03
28-04-15,49.155
29-04-15,49.06
30-04-15,48.64
01-05-15,48.655
04-05-15,48.24
05-05-15,47.6
06-05-15,46.28
07-05-15,46.7
08-05-15,47.75
11-05-15,47.37
12-05-15,47.35
13-05-15,47.625
14-05-15,48.72
15-05-15,48.295
18-05-15,48.01
19-05-15,47.58
20-05-15,47.58
21-05-15,47.42
22-05-15,46.9
26-05-15,46.59
27-05-15,47.61
28-05-15,47.45
29-05-15,46.86
01-06-15,47.23
02-06-15,46.92
03-06-15,46.85
04-06-15,46.36
05-06-15,46.14
08-06-15,45.73
09-06-15,45.65
10-06-15,46.61
11-06-15,46.44
12-06-15,45.97
15-06-15,45.475
16-06-15,45.83
17-06-15,45.97
18-06-15,46.72
19-06-15,46.1
22-06-15,46.23
23-06-15,45.91
24-06-15,45.635
25-06-15,45.65
26-06-15,45.26
29-06-15,44.37
30-06-15,44.15
01-07-15,44.445
02-07-15,44.4
06-07-15,44.39
07-07-15,44.3
08-07-15,44.24
09-07-15,44.52
10-07-15,44.61
13-07-15,45.54
14-07-15,45.62
15-07-15,45.76
16-07-15,46.66
17-07-15,46.62
20-07-15,46.92
21-07-15,47.28
22-07-15,45.54
23-07-15,46.11
24-07-15,45.94
27-07-15,45.35
28-07-15,45.34
29-07-15,46.29
30-07-15,46.88
31-07-15,46.7
03-08-15,46.81
04-08-15,47.54
05-08-15,47.58
06-08-15,46.62
07-08-15,46.74
10-08-15,47.33
11-08-15,46.41
12-08-15,46.74
13-08-15,46.73
14-08-15,47
17-08-15,47.32
18-08-15,47.27
19-08-15,46.61
20-08-15,45.66
21-08-15,43.07
24-08-15,41.68
25-08-15,40.47
26-08-15,42.71
27-08-15,43.9
28-08-15,43.93
31-08-15,43.52
01-09-15,41.82
02-09-15,43.36
03-09-15,43.5
04-09-15,42.61
08-09-15,43.89
09-09-15,43.07
